Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,20,13,32,8,9,10,47,4,0,6,1498,6,9,6,6,5,9,2,4,3,12,2,0,1,38,1,3,2,170,50
CC10.png,Right,10,10,2,19,0,8,33,7,6,4,1159,3,11,2,2,3,1,5,0,3,9,2,2,1,25,1,2,1,115,32
CC11.png,Right,16,13,2,0,0,0,45,11,0,2,1121,7,6,0,3,4,1,0,0,0,9,4,0,1,23,2,2,0,102,26
CC12.png,Right,3,25,0,2,5,20,48,11,2,4,1458,19,8,0,2,7,0,1,2,7,8,4,1,1,36,7,4,0,147,44
CC2.png,Left,0,8,0,17,2,20,27,0,4,2,1305,11,8,4,0,2,0,4,1,3,8,0,2,1,22,3,3,1,103,28
CC3.png,Left,26,24,0,6,3,6,69,0,3,2,1607,13,12,0,5,9,0,3,1,1,17,0,1,1,40,4,3,0,164,45
CC4.png,Left,10,22,0,2,7,0,42,9,0,14,1047,18,8,0,3,4,0,1,2,0,12,3,0,2,29,7,3,0,132,37
CC5.png,Left,2,7,6,12,6,12,56,5,7,6,1113,0,17,0,1,2,3,4,2,3,14,2,2,2,34,0,5,0,136,40
CC6.png,Left,2,11,0,2,0,7,39,0,0,0,1240,8,20,0,1,3,0,1,0,2,10,0,0,0,23,3,6,0,89,26
CC7.png,Right,6,11,2,0,0,0,41,31,5,4,1343,23,16,0,1,3,1,0,0,0,11,6,2,2,24,5,2,0,139,33
CC8.png,Right,0,8,0,16,0,8,76,9,14,21,1628,16,4,2,0,2,0,4,0,2,24,3,4,6,47,5,1,1,174,52
CC9.png,Right,6,23,14,8,0,7,112,24,2,28,1558,11,23,0,3,6,3,3,0,2,28,8,1,9,60,4,7,0,258,74
P1.png,Left,8,12,10,8,95,42,46,2,24,29,909,6,17,14,2,3,4,2,18,12,13,1,6,6,66,3,3,4,313,77
P10.png,Right,10,14,0,30,0,4,111,13,24,24,1385,16,11,10,5,7,0,7,0,1,24,3,9,7,55,5,5,2,267,75
P11.png,Right,2,59,26,32,16,42,144,26,44,40,1109,10,22,10,1,19,7,9,3,9,26,9,10,10,89,5,6,3,473,117
P12.png,Right,13,21,53,55,41,15,47,19,37,17,1871,5,10,49,3,6,14,16,11,5,13,6,11,5,92,1,4,10,382,105
P2.png,Left,14,14,2,4,7,5,96,0,0,7,1519,39,10,4,6,5,1,1,1,1,25,0,0,1,47,12,2,1,202,56
P3.png,Left,7,25,23,3,2,7,46,0,4,12,1499,15,21,4,2,5,9,1,1,3,13,0,1,3,44,5,5,1,169,49
P4.png,Left,6,23,9,0,6,4,49,8,0,3,1432,36,5,0,2,5,3,0,3,2,11,3,0,1,33,8,1,0,149,39
P5.png,Left,8,6,8,10,21,0,67,0,0,5,1193,2,8,0,3,2,3,3,5,0,18,0,0,2,32,1,3,0,135,40
P6.png,Left,4,94,130,23,80,73,81,31,12,61,5394,9,19,4,2,27,37,6,24,21,25,8,4,14,144,3,7,1,621,179
P7.png,Right,14,6,17,10,2,18,39,11,14,28,1390,6,2,6,3,3,3,3,1,6,10,3,5,7,41,1,1,2,173,48
P8.png,Right,21,171,42,174,84,113,211,165,102,159,3072,12,38,17,5,40,12,40,16,30,49,41,25,39,249,5,10,5,1309,317
P9.png,Right,22,26,2,13,4,22,125,45,6,16,1938,32,41,5,7,8,1,5,1,4,30,15,3,6,76,9,12,1,359,102
