Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,8,8,16,2,4,2,10,18,2,11,485,2,6,0,2,3,6,1,2,1,2,5,1,3,24,1,1,0,89,28
CC10.png,Right,0,4,0,34,8,20,0,0,0,0,102,0,0,0,0,1,0,4,2,2,0,0,0,0,8,0,0,0,66,9
CC11.png,Right,0,4,0,2,0,0,2,20,2,12,185,0,0,0,0,2,0,1,0,0,1,6,1,4,14,0,0,0,42,15
CC12.png,Right,0,4,69,0,20,7,0,0,0,0,133,0,0,0,0,1,11,0,4,2,0,0,0,0,14,0,0,0,100,18
CC2.png,Left,0,0,51,0,0,0,8,0,0,2,86,0,11,0,0,0,8,0,0,0,2,0,0,1,13,0,4,0,72,15
CC3.png,Left,0,0,48,0,0,0,0,0,0,10,94,0,5,0,0,0,6,0,0,0,0,0,0,1,9,0,2,0,63,9
CC4.png,Left,0,26,12,2,4,10,0,2,0,2,323,0,4,0,0,4,4,1,2,2,0,1,0,1,13,0,1,0,62,16
CC5.png,Left,0,0,4,0,0,0,0,0,12,0,200,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,16,4
CC6.png,Left,8,0,4,0,0,0,0,36,0,10,147,0,0,0,2,0,2,0,0,0,0,9,0,3,15,0,0,0,58,16
CC7.png,Right,0,18,10,2,6,10,0,0,0,0,102,0,0,0,0,3,4,1,1,2,0,0,0,0,11,0,0,0,46,11
CC8.png,Right,0,2,24,0,10,12,0,0,0,0,176,0,0,0,0,1,8,0,3,2,0,0,0,0,13,0,0,0,48,14
CC9.png,Right,2,23,20,4,0,16,0,0,0,0,176,0,10,0,1,7,3,2,0,4,0,0,0,0,16,0,2,0,75,19
P1.png,Left,0,10,32,0,0,0,6,4,0,8,135,2,14,0,0,4,9,0,0,0,2,2,0,2,20,1,7,0,76,27
P10.png,Right,0,8,0,0,0,0,2,41,8,60,268,0,0,0,0,3,0,0,0,0,1,12,2,12,26,0,0,0,119,30
P11.png,Right,22,0,2,0,0,0,4,0,0,0,127,8,21,0,7,0,1,0,0,0,2,0,0,0,14,3,3,0,57,16
P12.png,Right,0,23,0,0,0,0,18,4,2,14,147,0,0,0,0,9,0,0,0,0,8,2,1,5,22,0,0,0,61,25
P2.png,Left,2,10,4,0,0,6,4,2,0,0,125,6,12,0,1,3,1,0,0,1,2,1,0,0,12,1,3,0,46,13
P3.png,Left,20,8,14,0,2,0,2,2,0,0,138,8,16,0,4,2,5,0,1,0,1,1,0,0,20,4,7,0,72,25
P4.png,Left,2,50,16,14,0,12,6,2,0,2,168,0,0,0,1,13,4,4,0,6,3,1,0,1,22,0,0,0,104,33
P5.png,Left,0,0,32,0,0,2,16,2,0,8,118,0,14,0,0,0,11,0,0,1,3,1,0,4,16,0,5,0,74,25
P6.png,Left,16,10,2,0,10,0,57,0,0,0,177,6,6,0,1,2,1,0,1,0,14,0,0,0,20,1,3,0,107,23
P7.png,Right,56,48,50,22,8,18,64,6,2,20,2135,34,38,8,19,19,19,9,4,8,22,3,1,9,110,10,14,3,374,140
P8.png,Right,0,0,0,0,0,0,74,4,0,0,92,4,6,0,0,0,0,0,0,0,14,2,0,0,16,2,1,0,88,19
P9.png,Right,0,36,4,4,0,14,0,0,4,0,147,0,10,0,0,7,2,1,0,4,0,0,1,0,14,0,2,0,72,17
