Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,20,10,10,8,23,8,25,26,20,6,1189,2,18,6,10,5,5,4,9,4,11,9,9,2,73,1,9,3,182,81
IC10.png,Right,6,16,14,8,8,6,12,4,8,4,613,7,10,0,2,7,7,4,3,3,5,2,3,2,38,3,4,0,103,45
IC11.png,Right,24,21,19,2,14,22,14,21,22,21,1233,0,10,10,11,7,9,1,7,9,6,9,11,10,75,0,5,3,200,88
IC12.png,Right,4,12,20,10,8,10,6,4,6,0,900,2,6,8,2,5,8,5,3,3,3,2,3,0,35,1,2,2,96,39
IC2.png,Left,51,112,60,54,26,38,115,46,24,24,5106,30,31,14,23,53,26,24,11,17,51,20,11,11,225,14,14,7,625,282
IC3.png,Left,8,12,20,6,9,12,37,31,8,9,1542,2,10,2,4,5,10,3,5,5,13,11,4,5,60,1,5,1,166,72
IC4.png,Left,2,13,16,14,24,17,16,8,18,10,1039,4,0,6,1,6,7,6,12,6,8,3,9,5,56,2,0,3,148,68
IC5.png,Left,16,10,20,12,28,22,18,10,5,2,578,4,12,4,7,5,9,3,10,10,7,4,2,1,56,2,5,2,163,67
IC6.png,Left,4,6,18,26,14,12,8,15,10,2,1341,4,2,4,2,3,8,9,7,6,3,8,5,1,46,2,1,2,125,57
IC7.png,Right,6,22,28,12,10,8,20,14,18,10,888,0,9,2,3,9,12,6,5,4,9,7,7,5,60,0,5,1,159,73
IC8.png,Right,14,22,32,26,26,12,30,16,25,21,2916,2,8,10,7,10,15,13,10,5,14,8,13,11,92,1,4,5,244,116
IC9.png,Right,27,46,32,19,6,16,75,30,70,24,4294,9,27,20,12,20,16,8,3,7,34,14,32,12,152,5,11,10,401,184
P1.png,Left,4,8,26,12,12,10,38,18,14,22,763,8,12,12,1,4,12,6,6,5,17,8,6,10,74,3,5,5,196,88
P10.png,Right,14,72,34,52,52,53,30,24,28,36,1469,10,38,55,7,26,12,20,21,20,13,11,10,15,152,5,15,20,498,195
P11.png,Right,30,48,42,27,28,38,76,26,18,16,2165,14,24,6,15,20,16,12,13,19,29,11,9,8,140,7,11,3,393,173
P12.png,Right,8,58,64,22,30,26,33,18,16,20,1944,2,20,18,4,27,26,11,8,13,13,9,8,10,122,1,10,8,335,148
P2.png,Left,32,63,95,84,69,65,72,80,42,58,4180,14,21,16,15,25,38,36,31,31,31,35,21,27,250,7,8,7,711,312
P3.png,Left,52,33,65,84,50,36,82,39,30,34,3283,8,26,8,21,16,30,33,25,15,34,17,14,14,197,4,13,4,547,240
P4.png,Left,6,49,38,36,14,18,49,15,10,12,1403,2,15,10,3,21,18,18,6,8,20,5,4,6,92,1,7,4,274,121
P5.png,Left,4,6,10,10,4,4,12,4,0,2,827,4,10,6,2,3,4,5,2,2,6,2,0,1,29,2,5,2,76,36
P6.png,Left,12,12,14,8,10,10,24,2,10,10,1282,4,4,6,5,5,6,4,5,3,11,1,3,5,40,2,2,3,126,55
P7.png,Right,18,22,8,18,6,14,27,6,34,16,1181,14,10,4,9,9,4,9,2,7,13,3,16,7,74,6,5,2,197,92
P8.png,Right,20,34,28,16,14,18,20,26,10,8,1437,6,14,0,9,16,12,7,7,9,8,10,4,4,76,2,7,0,214,95
P9.png,Right,35,36,26,18,8,14,66,38,12,20,2157,26,24,6,14,17,12,9,4,6,26,17,6,9,118,11,11,3,329,145
