Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,26,9,2,14,0,0,43,2,0,2,753,14,8,2,11,4,1,6,0,0,16,1,0,1,47,6,4,1,122,51
IC10.png,Right,8,0,2,0,0,2,12,0,0,0,375,2,6,0,4,0,1,0,0,1,5,0,0,0,14,1,3,0,32,15
IC11.png,Right,9,6,0,4,0,0,67,10,0,0,828,14,14,0,4,3,0,2,0,0,27,4,0,0,42,5,6,0,124,51
IC12.png,Right,2,4,8,0,4,0,30,8,4,6,701,0,2,4,1,2,4,0,2,0,12,4,2,3,30,0,1,2,72,33
IC2.png,Left,36,6,10,4,2,8,75,0,0,0,1017,12,16,2,14,3,4,2,1,4,22,0,0,0,56,6,8,1,171,65
IC3.png,Left,6,14,2,11,2,4,38,0,0,0,999,4,14,2,3,5,1,5,1,2,16,0,0,0,37,2,6,1,97,42
IC4.png,Left,2,4,13,4,0,9,0,2,9,9,507,0,2,0,1,2,5,2,0,3,0,1,4,3,19,0,1,0,54,22
IC5.png,Left,28,4,0,0,2,0,52,0,0,0,736,4,12,0,13,2,0,0,1,0,20,0,0,0,39,2,5,0,102,43
IC6.png,Left,14,6,8,0,0,0,32,0,0,0,686,8,13,0,7,3,4,0,0,0,10,0,0,0,26,4,6,0,81,34
IC7.png,Right,4,4,2,0,0,0,55,0,0,0,397,2,0,2,2,2,1,0,0,0,21,0,0,0,28,1,0,1,69,28
IC8.png,Right,0,0,0,0,4,2,46,6,0,2,735,17,2,0,0,0,0,0,2,1,15,3,0,1,28,7,1,0,79,30
IC9.png,Right,4,0,2,0,0,2,38,0,0,0,573,2,8,0,2,0,1,0,0,1,13,0,0,0,18,1,3,0,56,21
P1.png,Left,2,2,6,6,0,2,14,4,0,4,377,6,4,0,1,1,3,3,0,1,7,2,0,2,18,3,2,0,50,25
P10.png,Right,2,4,0,4,0,0,24,12,4,4,769,4,2,0,1,2,0,2,0,0,10,6,2,2,24,2,1,0,60,28
P11.png,Right,4,8,24,25,14,24,26,13,9,12,1069,6,6,6,2,4,12,12,7,11,12,6,4,6,74,3,3,3,177,85
P12.png,Right,0,5,2,4,0,2,30,14,14,6,1123,0,0,6,0,2,1,2,0,1,13,7,7,3,39,0,0,3,83,39
P2.png,Left,0,27,12,20,10,21,50,0,8,10,951,2,0,8,0,13,6,10,5,10,21,0,4,5,66,1,0,4,168,79
P3.png,Left,0,10,2,14,8,2,2,0,2,2,597,0,0,6,0,5,1,6,3,1,1,0,1,1,21,0,0,3,48,22
P4.png,Left,7,6,2,2,0,5,21,2,0,2,423,6,0,0,3,3,1,1,0,2,9,1,0,1,23,3,0,0,53,24
P5.png,Left,34,18,36,8,25,17,37,32,20,16,1157,9,18,6,16,8,16,4,11,8,17,16,9,8,99,4,9,3,276,129
P6.png,Left,12,35,6,8,0,4,77,0,0,2,950,6,8,2,4,16,3,4,0,2,33,0,0,1,58,3,4,1,160,71
P7.png,Right,4,12,10,6,0,6,43,6,10,2,595,8,6,7,2,6,5,3,0,3,14,3,5,1,43,4,3,3,120,52
P8.png,Right,12,0,0,0,0,0,2,0,0,0,481,0,0,2,5,0,0,0,0,0,1,0,0,0,7,0,0,1,16,7
P9.png,Right,2,0,0,0,2,2,21,6,10,0,662,2,6,0,1,0,0,0,1,1,10,3,5,0,23,1,3,0,51,25
