Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,2,26,37,22,8,12,18,0,0,10,397,0,2,0,1,12,14,10,4,6,6,0,0,5,42,0,1,0,137,59
CC10.png,Right,6,13,4,8,10,8,16,2,0,8,273,0,0,0,3,6,2,3,3,4,7,1,0,4,27,0,0,0,75,33
CC11.png,Right,0,65,21,24,14,19,33,45,22,26,614,0,9,4,0,27,10,11,6,9,14,17,9,12,87,0,4,2,282,121
CC12.png,Right,2,26,4,10,6,16,9,16,12,22,318,0,0,0,1,12,2,4,3,6,4,7,6,10,41,0,0,0,123,55
CC2.png,Left,0,22,19,11,15,21,29,6,0,5,357,0,0,0,0,8,8,5,7,9,10,3,0,2,38,0,0,0,128,52
CC3.png,Left,2,24,14,5,10,16,21,4,0,4,337,0,4,0,1,10,7,2,5,8,9,1,0,2,34,0,2,0,104,47
CC4.png,Left,2,36,41,10,17,10,34,4,6,18,564,3,8,0,1,15,17,4,7,4,14,2,3,8,59,1,4,0,189,80
CC5.png,Left,2,35,61,16,29,21,38,27,10,22,695,0,12,0,1,16,25,7,13,9,17,11,5,10,88,0,6,0,273,120
CC6.png,Left,4,58,48,31,16,43,30,10,7,8,719,4,4,2,2,26,20,14,8,18,14,5,3,4,93,2,2,1,265,119
CC7.png,Right,0,10,2,20,15,4,10,22,14,17,464,0,10,0,0,5,1,8,6,2,5,7,7,6,43,0,5,0,124,52
CC8.png,Right,0,22,4,12,0,4,30,19,8,13,289,2,7,0,0,11,2,5,0,2,11,9,4,6,42,1,3,0,121,54
CC9.png,Right,2,29,8,22,2,23,40,19,10,31,437,4,18,2,1,12,3,9,1,8,13,9,5,15,64,2,7,1,210,86
P1.png,Left,0,19,35,9,22,23,58,6,7,11,494,2,4,7,0,9,15,4,10,11,16,3,3,5,62,1,2,3,203,82
P10.png,Right,0,49,13,16,6,14,14,42,14,22,434,0,2,2,0,21,6,8,3,6,5,18,6,10,62,0,1,1,194,85
P11.png,Right,10,22,46,20,36,24,33,8,16,14,633,6,14,20,5,11,19,10,16,11,14,4,7,7,97,3,7,8,269,122
P12.png,Right,2,34,13,8,6,12,9,38,14,26,547,2,0,0,1,12,6,4,3,6,4,16,7,12,55,1,0,0,164,72
P2.png,Left,0,37,29,16,12,30,4,4,2,4,501,0,2,4,0,14,14,8,6,12,2,2,1,2,46,0,1,2,144,64
P3.png,Left,0,58,73,25,22,27,75,24,4,12,878,2,6,2,0,20,33,9,11,12,29,11,2,6,105,1,2,1,330,137
P4.png,Left,8,39,44,12,18,23,34,15,6,11,507,0,4,2,3,16,18,6,9,8,10,6,3,5,69,0,2,1,216,87
P5.png,Left,2,36,53,24,42,29,66,18,20,32,972,6,12,16,1,17,21,11,19,13,24,8,10,14,113,3,6,7,356,154
P6.png,Left,8,40,28,68,42,42,20,25,12,21,1104,2,7,8,4,19,12,27,20,17,8,7,5,9,107,1,3,4,323,136
P7.png,Right,0,57,2,35,8,19,74,62,19,42,871,2,8,4,0,24,1,14,4,8,27,23,9,17,101,1,3,2,332,133
P8.png,Right,0,73,58,32,31,30,30,55,40,34,1087,0,12,10,0,31,23,16,13,13,13,23,19,16,130,0,5,5,405,177
P9.png,Right,0,73,39,40,24,33,87,42,28,32,994,4,29,2,0,30,15,19,11,15,33,21,13,16,145,2,14,1,433,190
