Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,8,8,12,26,4,14,92,2,6,2,2079,16,12,2,3,4,5,5,2,5,35,1,2,1,63,5,5,1,204,74
CC10.png,Right,2,2,0,0,0,0,48,31,0,2,1809,2,4,0,1,1,0,0,0,0,18,12,0,1,35,1,2,0,91,36
CC11.png,Right,2,14,4,4,2,0,52,26,18,14,1953,0,6,0,1,7,2,2,1,0,24,13,9,7,64,0,3,0,142,69
CC12.png,Right,0,2,0,0,0,0,18,6,6,0,1052,2,0,0,0,1,0,0,0,0,7,3,3,0,15,1,0,0,34,15
CC2.png,Left,0,10,4,4,4,2,16,2,0,0,386,2,2,0,0,3,2,2,2,1,6,1,0,0,12,1,1,0,46,19
CC3.png,Left,0,2,0,0,0,0,6,0,0,0,316,0,0,0,0,1,0,0,0,0,3,0,0,0,4,0,0,0,8,4
CC4.png,Left,0,6,0,2,0,4,4,0,0,0,1185,0,2,0,0,3,0,1,0,1,2,0,0,0,8,0,1,0,18,8
CC5.png,Left,4,16,26,2,0,6,78,4,0,0,1187,8,29,0,1,6,9,1,0,3,26,1,0,0,53,4,10,0,173,61
CC6.png,Left,0,37,2,12,0,8,20,0,0,0,611,0,2,0,0,15,1,6,0,4,8,0,0,0,27,0,1,0,81,35
CC7.png,Right,0,2,0,0,0,0,24,26,0,4,1142,0,3,0,0,1,0,0,0,0,10,8,0,2,22,0,1,0,59,22
CC8.png,Right,0,8,0,0,0,2,59,12,4,0,295,8,18,0,0,3,0,0,0,1,18,4,2,0,28,2,7,0,111,37
CC9.png,Right,0,2,0,2,0,0,4,14,12,6,454,0,0,0,0,1,0,1,0,0,1,7,6,3,19,0,0,0,40,19
P1.png,Left,62,114,87,68,30,26,138,38,38,46,2305,26,45,14,24,35,33,23,14,13,54,15,17,18,232,12,21,7,732,286
P10.png,Right,50,42,27,50,26,28,99,60,93,30,1854,38,47,26,15,16,11,20,8,9,25,20,32,11,166,13,17,9,616,206
P11.png,Right,0,0,0,0,0,0,2,15,0,0,530,0,0,0,0,0,0,0,0,0,1,7,0,0,8,0,0,0,17,8
P12.png,Right,28,22,6,4,0,2,166,40,16,8,4694,42,22,2,11,11,3,1,0,1,60,15,6,4,121,17,11,1,358,141
P2.png,Left,92,74,198,40,230,120,170,131,48,114,5129,32,94,76,31,32,73,17,81,42,54,47,18,46,418,15,42,29,1419,527
P3.png,Left,40,18,24,8,7,16,72,26,10,12,947,12,38,0,14,5,9,3,3,5,24,6,3,4,75,5,12,0,283,93
P4.png,Left,46,122,63,30,22,34,236,18,8,4,3073,14,24,20,15,39,21,11,10,13,64,7,3,2,170,6,8,7,641,206
P5.png,Left,34,2,8,6,4,4,112,0,0,10,612,22,56,2,8,1,4,2,2,2,25,0,0,4,48,7,17,1,260,73
P6.png,Left,66,89,72,40,38,37,182,28,24,42,2362,36,44,16,23,32,24,15,18,15,56,8,8,15,198,15,17,7,714,253
P7.png,Right,20,12,6,14,2,2,35,23,18,16,1668,18,4,20,7,5,1,6,1,1,15,11,9,7,68,9,2,10,190,84
P8.png,Right,36,12,16,16,16,8,64,14,4,8,1743,22,12,8,17,5,8,8,8,4,27,7,2,4,90,9,6,3,236,108
P9.png,Right,4,0,0,0,0,0,38,14,0,4,512,0,2,0,2,0,0,0,0,0,15,6,0,2,27,0,1,0,62,26
