Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,16,18,22,16,25,22,24,20,8,12,1006,10,13,14,8,6,11,7,12,10,10,9,4,6,78,5,6,7,220,101
IC10.png,Right,12,10,16,6,6,4,20,9,6,4,414,6,10,0,6,4,7,2,3,2,7,4,2,2,37,3,5,0,109,47
IC11.png,Right,8,4,6,7,2,0,23,2,0,6,403,8,0,0,4,1,3,3,1,0,7,1,0,3,24,4,0,0,66,27
IC12.png,Right,12,6,14,4,12,10,19,6,6,4,543,6,8,8,5,3,7,2,4,4,8,3,3,2,36,3,4,4,115,52
IC2.png,Left,6,14,16,11,11,7,13,21,6,4,774,8,5,2,3,4,7,5,5,3,6,9,3,2,41,4,2,1,124,54
IC3.png,Left,6,2,16,0,3,4,10,5,6,8,322,18,2,0,3,1,7,0,1,2,5,2,2,4,26,7,1,0,80,35
IC4.png,Left,23,21,12,10,14,5,23,6,3,9,767,8,4,2,9,7,5,5,7,2,9,3,1,3,48,3,2,1,140,57
IC5.png,Left,6,2,9,0,0,2,21,10,4,10,334,8,7,2,3,1,4,0,0,1,10,4,1,5,27,4,3,1,81,37
IC6.png,Left,20,0,20,0,4,0,22,14,2,2,623,12,4,2,9,0,7,0,2,0,11,7,1,1,41,6,2,1,102,47
IC7.png,Right,10,15,12,8,4,4,8,6,15,4,559,11,3,4,5,7,5,4,2,2,4,3,7,2,41,5,1,2,104,49
IC8.png,Right,10,12,13,6,4,8,24,8,5,6,862,8,5,2,5,6,5,3,1,3,11,4,2,3,44,4,2,1,111,50
IC9.png,Right,46,24,20,19,2,12,22,10,10,17,1013,14,12,2,20,12,9,8,1,4,11,5,5,6,73,7,6,1,210,95
P1.png,Left,26,18,20,16,26,8,32,24,18,8,1375,11,6,8,13,8,10,8,12,4,14,11,9,3,84,5,3,4,221,104
P10.png,Right,10,14,10,18,18,5,12,0,0,2,446,5,10,10,5,7,5,8,8,2,4,0,0,1,35,3,4,3,114,50
P11.png,Right,4,14,4,6,0,18,2,2,0,2,363,8,0,4,2,7,2,2,0,8,1,1,0,1,28,4,0,2,64,30
P12.png,Right,22,40,39,14,11,20,10,9,6,10,829,0,16,6,11,15,16,6,4,10,5,3,3,4,72,0,6,3,203,86
P2.png,Left,21,8,4,5,2,2,8,14,0,10,968,4,5,0,10,4,2,2,1,1,4,5,0,5,36,2,1,0,83,37
P3.png,Left,25,8,26,6,26,14,28,16,8,10,833,16,13,0,11,4,12,3,11,6,12,8,3,5,72,8,6,0,196,89
P4.png,Left,26,8,22,6,4,8,34,8,4,6,909,16,14,6,12,4,10,3,2,4,13,4,1,3,54,8,6,3,162,73
P5.png,Left,14,2,8,2,0,0,8,18,12,2,646,4,11,7,7,1,4,1,0,0,3,9,6,1,39,2,5,3,88,42
P6.png,Left,16,30,67,8,30,28,73,30,30,22,1038,16,16,4,8,14,27,4,12,13,32,15,15,10,122,6,6,2,370,164
P7.png,Right,43,61,53,43,38,28,103,22,30,20,3074,22,30,12,20,30,22,20,18,13,39,10,15,10,184,11,15,6,505,229
P8.png,Right,15,26,22,32,10,8,50,21,12,12,1398,10,10,8,7,13,9,14,4,4,19,9,6,6,92,5,5,4,236,105
P9.png,Right,22,18,27,8,2,20,43,11,17,8,1238,18,21,2,11,8,12,4,1,9,17,5,7,4,79,8,9,1,217,96
