Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,20,1,78,1,38,19,11,20,7,31,469,9,9,0,12,1,49,1,26,16,7,14,5,20,129,7,8,0,244,166
CC10.png,Right,2,45,33,46,10,34,45,0,5,7,514,6,28,2,2,32,28,32,9,27,24,0,3,7,146,5,18,2,263,189
CC11.png,Right,52,37,17,11,1,7,12,3,0,8,582,7,31,0,33,28,13,7,1,7,7,2,0,7,114,5,24,0,186,134
CC12.png,Right,3,124,42,33,1,24,8,3,0,19,954,4,24,6,2,75,28,21,1,20,7,3,0,16,167,3,20,4,291,200
CC2.png,Left,1,36,189,10,16,50,24,14,2,31,642,2,27,2,1,19,93,6,11,34,9,9,2,24,184,1,19,2,404,230
CC3.png,Left,15,3,109,7,98,63,15,27,6,61,591,16,10,4,11,3,64,6,58,36,12,16,2,40,193,11,9,2,434,270
CC4.png,Left,0,10,127,6,30,41,0,20,2,30,400,0,6,0,0,7,67,4,22,29,0,13,2,20,129,0,5,0,272,169
CC5.png,Left,8,5,31,0,7,11,95,11,1,4,400,10,33,0,7,5,22,0,6,10,36,9,1,3,98,9,19,0,216,127
CC6.png,Left,2,0,66,3,87,21,0,19,8,55,531,1,2,10,2,0,43,2,55,13,0,12,6,45,143,1,2,8,274,189
CC7.png,Right,55,66,22,3,1,26,50,4,0,8,1084,18,58,0,40,48,19,3,1,16,34,3,0,5,192,13,40,0,311,222
CC8.png,Right,22,129,46,18,1,13,17,8,2,30,807,10,45,0,14,83,31,9,1,12,10,7,2,18,180,6,33,0,341,226
CC9.png,Right,2,96,30,9,2,25,1,0,1,6,384,0,12,0,1,55,18,9,2,22,1,0,1,5,92,0,10,0,184,124
P1.png,Left,10,3,66,2,19,3,8,57,23,75,479,16,12,1,7,2,40,2,12,3,6,35,14,46,148,14,10,1,295,192
P10.png,Right,5,81,59,49,11,37,15,0,8,36,623,0,27,1,4,55,43,33,9,26,11,0,5,28,187,0,22,1,329,237
P11.png,Right,7,77,19,7,2,21,25,5,2,25,507,12,46,0,5,47,12,6,2,12,19,4,2,16,134,9,31,0,248,165
P12.png,Right,0,80,54,44,8,49,0,0,0,14,529,1,8,5,0,47,36,33,8,34,0,0,0,11,139,1,7,2,263,179
P2.png,Left,4,6,185,4,95,49,4,118,19,53,1034,0,10,0,4,6,116,3,55,36,2,67,14,35,265,0,7,0,547,345
P3.png,Left,5,0,102,0,97,31,6,28,3,38,811,2,16,0,5,0,70,0,62,26,6,21,2,29,175,1,14,0,328,236
P4.png,Left,7,3,56,16,18,42,15,18,0,18,411,2,12,0,6,3,38,14,13,28,10,12,0,14,103,2,9,0,207,149
P5.png,Left,21,0,31,0,15,8,20,71,2,19,577,10,15,0,14,0,22,0,8,7,8,40,1,12,105,9,10,0,212,131
P6.png,Left,7,0,50,2,33,6,0,52,7,37,521,0,3,0,6,0,28,1,19,3,0,37,6,24,106,0,2,0,197,126
P7.png,Right,13,28,24,4,2,3,37,10,3,17,508,9,38,0,9,21,13,3,2,3,21,8,3,9,104,7,26,0,188,125
P8.png,Right,4,103,40,34,10,57,37,18,8,50,923,7,35,10,4,63,28,25,9,36,24,13,5,29,215,7,23,7,413,273
P9.png,Right,2,89,74,63,22,97,0,1,1,8,646,0,5,1,2,58,52,43,18,75,0,1,1,7,196,0,4,1,363,262
