Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,100,22,64,12,30,20,179,104,26,48,3418,166,124,0,40,10,30,5,15,8,62,40,12,19,271,69,51,0,895,361
IC10.png,Right,100,26,26,4,4,2,83,2,0,4,2164,75,52,0,36,12,13,2,2,1,21,1,0,2,115,35,21,0,378,146
IC11.png,Right,60,48,40,34,8,20,307,72,26,32,2779,78,62,10,25,20,17,15,4,9,104,31,8,16,252,33,29,5,797,316
IC12.png,Right,61,66,104,22,20,14,72,2,0,8,2205,16,42,2,26,29,46,9,9,7,28,1,0,4,157,8,20,1,429,188
IC2.png,Left,14,0,8,0,0,0,8,10,8,2,270,10,4,0,6,0,4,0,0,0,2,4,4,1,24,3,2,0,64,26
IC3.png,Left,58,0,43,0,4,4,4,86,22,16,1235,18,36,2,22,0,19,0,2,2,2,34,9,8,102,7,18,1,293,124
IC4.png,Left,40,34,26,26,32,36,138,58,42,28,2125,38,38,2,18,14,13,12,13,16,43,21,17,12,168,16,15,1,538,211
IC5.png,Left,64,4,38,0,14,4,44,40,16,16,1348,40,44,0,28,2,17,0,7,2,19,16,8,7,108,16,18,0,324,140
IC6.png,Left,131,4,50,0,12,2,44,60,6,22,2314,40,30,0,54,2,21,0,5,1,19,26,3,9,153,19,15,0,401,174
IC7.png,Right,51,62,82,4,18,36,242,6,0,6,2058,59,68,0,19,26,34,2,8,17,79,3,0,2,189,25,30,0,634,245
IC8.png,Right,293,178,284,68,154,130,142,28,8,28,6221,110,177,14,112,79,121,29,60,59,47,10,4,14,531,49,75,7,1614,666
IC9.png,Right,8,2,14,0,4,2,0,0,0,0,203,6,2,0,4,1,6,0,2,1,0,0,0,0,15,3,1,0,38,18
P1.png,Left,22,2,14,12,46,10,4,135,130,50,2863,12,18,16,9,1,7,5,22,5,2,57,48,21,169,6,8,7,471,198
P10.png,Right,114,44,54,4,10,10,71,6,0,0,1752,46,66,0,48,18,23,2,5,5,26,3,0,0,143,20,29,0,425,179
P11.png,Right,48,34,164,16,24,56,6,6,2,12,3094,22,26,2,19,15,58,5,12,22,3,3,1,6,142,10,12,1,418,167
P12.png,Right,166,114,134,36,32,38,192,4,12,12,6210,120,108,0,61,50,51,14,15,17,78,2,5,6,324,49,47,0,968,395
P2.png,Left,263,140,431,60,94,98,275,416,136,208,9311,97,214,17,100,60,171,26,39,42,87,153,56,88,771,43,91,8,2449,964
P3.png,Left,71,0,12,2,4,12,0,34,8,8,1125,10,0,2,24,0,4,1,2,4,0,16,4,4,57,5,0,1,163,65
P4.png,Left,54,38,68,30,126,46,130,150,84,90,4377,32,10,32,25,15,31,14,51,20,31,55,39,42,284,16,5,15,890,359
P5.png,Left,134,60,170,28,64,96,200,101,38,64,6553,76,107,8,59,26,72,13,31,37,66,45,18,27,365,32,43,4,1146,473
P6.png,Left,77,2,52,2,6,4,26,46,26,26,1745,36,49,0,29,1,22,1,3,2,10,18,10,11,114,16,21,0,352,144
P7.png,Right,136,22,121,10,22,24,78,2,0,2,3020,40,46,4,51,10,46,5,10,10,21,1,0,1,179,20,22,2,507,199
P8.png,Right,86,144,230,58,68,110,100,36,18,42,3553,60,80,18,34,57,85,25,30,44,37,14,6,20,329,27,34,9,1050,422
P9.png,Right,12,24,26,6,10,4,6,2,2,4,928,6,12,2,6,9,13,3,5,2,3,1,1,2,46,3,6,1,116,55
