Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,20,0,0,0,0,0,8,6,2,0,1768,4,1,0,10,0,0,0,0,0,4,3,1,0,19,3,1,0,41,22
IC10.png,Right,4,0,2,0,2,0,15,0,0,0,789,8,0,0,2,0,1,0,1,0,7,0,0,0,15,4,0,0,31,15
IC11.png,Right,18,10,4,0,0,0,16,0,0,0,1647,13,0,0,8,5,2,0,0,0,7,0,0,0,27,6,0,0,61,28
IC12.png,Right,16,2,7,0,0,2,18,2,0,0,2038,2,4,0,3,1,3,0,0,1,7,1,0,0,18,1,2,0,53,19
IC2.png,Left,5,2,1,0,0,0,9,0,0,0,4215,5,1,0,2,1,1,0,0,0,5,0,0,0,13,3,1,0,23,13
IC3.png,Left,7,2,2,0,0,0,13,9,2,0,1638,6,9,0,4,1,1,0,0,0,6,5,1,0,24,4,4,0,50,26
IC4.png,Left,5,0,4,0,0,0,2,4,0,2,1020,1,1,0,3,0,2,0,0,0,1,2,0,1,10,1,1,0,19,11
IC5.png,Left,0,0,0,0,0,0,0,0,0,0,990,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1
IC6.png,Left,17,0,0,0,0,0,5,5,0,0,2390,2,4,0,8,0,0,0,0,0,3,3,0,0,18,1,2,0,33,17
IC7.png,Right,12,4,6,3,0,4,30,0,0,4,1228,11,2,0,7,2,3,2,0,1,15,0,0,2,37,5,1,0,76,38
IC8.png,Right,29,15,13,4,2,7,47,8,0,6,5535,10,21,0,15,8,7,2,1,4,24,4,0,3,76,7,12,0,162,87
IC9.png,Right,14,5,2,2,2,1,7,4,0,8,2984,7,0,0,7,3,1,1,1,1,4,2,0,4,28,5,0,0,52,29
P1.png,Left,2,0,0,0,0,0,6,2,4,0,881,3,6,0,1,0,0,0,0,0,3,1,2,0,13,2,3,0,23,12
P10.png,Right,24,0,17,0,2,1,2,0,0,0,1107,0,0,0,11,0,6,0,1,1,1,0,0,0,20,0,0,0,46,20
P11.png,Right,0,0,0,0,0,0,0,0,0,0,1765,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,2
P12.png,Right,0,0,4,0,0,0,2,0,0,0,2135,2,2,0,0,0,2,0,0,0,1,0,0,0,6,1,1,0,10,5
P2.png,Left,58,29,155,0,59,28,200,82,48,90,5387,75,70,13,30,16,74,0,28,16,94,35,22,44,347,39,38,6,907,442
P3.png,Left,48,2,3,0,0,2,36,37,8,7,8846,26,11,0,25,1,2,0,0,1,18,19,4,3,89,14,6,0,180,93
P4.png,Left,35,4,5,0,4,0,49,37,8,5,1684,18,17,0,18,2,3,0,2,0,22,18,4,3,80,10,9,0,182,91
P5.png,Left,3,0,1,0,0,0,6,2,0,0,1313,4,2,0,2,0,1,0,0,0,2,1,0,0,7,2,1,0,18,9
P6.png,Left,19,2,9,0,2,4,36,15,0,4,2800,14,3,0,12,1,5,0,1,2,20,8,0,2,55,7,2,0,108,60
P7.png,Right,39,6,17,1,6,6,46,2,0,1,3467,26,6,0,21,4,8,1,3,3,21,1,0,1,73,13,2,0,156,78
P8.png,Right,21,11,18,14,10,11,30,0,0,2,2609,17,15,0,9,6,10,5,5,6,15,0,0,1,69,9,10,0,149,76
P9.png,Right,6,0,4,2,0,0,8,4,0,2,2924,4,0,2,4,0,2,1,0,0,4,2,0,1,15,2,0,1,32,17
