Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,0,55,0,0,0,0,0,0,0,464,0,0,0,0,0,54,0,0,0,0,0,0,0,55,0,0,0,55,54
CC10.png,Right,0,36,0,0,0,0,0,0,0,0,291,0,0,0,0,34,0,0,0,0,0,0,0,0,35,0,0,0,36,34
CC11.png,Right,0,57,0,0,0,0,0,0,0,0,473,0,0,0,0,53,0,0,0,0,0,0,0,0,53,0,0,0,57,53
CC12.png,Right,0,78,0,0,0,0,0,0,0,0,667,0,0,0,0,77,0,0,0,0,0,0,0,0,78,0,0,0,78,77
CC2.png,Left,0,0,89,0,0,0,0,0,0,0,745,0,0,0,0,0,86,0,0,0,0,0,0,0,87,0,0,0,89,86
CC3.png,Left,0,0,63,0,0,0,0,0,0,0,553,0,0,0,0,0,63,0,0,0,0,0,0,0,64,0,0,0,63,63
CC4.png,Left,0,0,47,0,0,0,0,0,0,0,405,0,0,0,0,0,45,0,0,0,0,0,0,0,45,0,0,0,47,45
CC5.png,Left,0,0,62,0,0,0,0,0,0,0,527,0,0,0,0,0,60,0,0,0,0,0,0,0,61,0,0,0,62,60
CC6.png,Left,0,0,65,0,0,0,0,0,0,0,550,0,0,0,0,0,63,0,0,0,0,0,0,0,64,0,0,0,65,63
CC7.png,Right,0,51,0,0,0,0,0,0,0,0,457,0,0,0,0,51,0,0,0,0,0,0,0,0,52,0,0,0,51,51
CC8.png,Right,0,114,0,0,0,0,0,0,0,0,923,0,0,0,0,107,0,0,0,0,0,0,0,0,108,0,0,0,114,107
CC9.png,Right,0,87,0,0,0,0,0,0,0,0,743,0,0,0,0,86,0,0,0,0,0,0,0,0,86,0,0,0,87,86
P1.png,Left,0,0,89,0,0,0,0,0,0,0,755,0,0,0,0,0,88,0,0,0,0,0,0,0,89,0,0,0,89,88
P10.png,Right,0,71,0,0,0,0,0,0,0,0,614,0,0,0,0,69,0,0,0,0,0,0,0,0,70,0,0,0,71,69
P11.png,Right,0,79,0,0,0,0,0,0,0,0,666,0,0,0,0,77,0,0,0,0,0,0,0,0,78,0,0,0,79,77
P12.png,Right,0,122,0,0,0,0,0,0,0,0,1037,0,0,0,0,118,0,0,0,0,0,0,0,0,119,0,0,0,122,118
P2.png,Left,0,0,146,0,0,0,0,0,0,0,1228,0,0,0,0,0,143,0,0,0,0,0,0,0,144,0,0,0,146,143
P3.png,Left,0,0,37,0,0,0,0,0,0,0,332,0,0,0,0,0,35,0,0,0,0,0,0,0,36,0,0,0,37,35
P4.png,Left,0,0,64,0,0,0,0,0,0,0,524,0,0,0,0,0,63,0,0,0,0,0,0,0,64,0,0,0,64,63
P5.png,Left,0,0,57,0,0,0,0,0,0,0,480,0,0,0,0,0,54,0,0,0,0,0,0,0,55,0,0,0,57,54
P6.png,Left,0,0,68,0,0,0,0,0,0,0,587,0,0,0,0,0,66,0,0,0,0,0,0,0,67,0,0,0,68,66
P7.png,Right,0,74,0,0,0,0,0,0,0,0,618,0,0,0,0,71,0,0,0,0,0,0,0,0,72,0,0,0,74,71
P8.png,Right,0,112,0,0,0,0,0,0,0,0,892,0,0,0,0,109,0,0,0,0,0,0,0,0,110,0,0,0,112,109
P9.png,Right,0,94,0,0,0,0,0,0,0,0,807,0,0,0,0,94,0,0,0,0,0,0,0,0,95,0,0,0,94,94
