pid,date,Condition,Image,problem_Order,HOO_Position,Simplification,trialElapsedTime,finalNumerator,finalDenominator,true_final_numerator,true_final_denominator,Correct
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P10.png,1,Right,No,43.0106,39.0,12.0,43,12,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P4.png,2,Left,No,26.3638,71.0,12.0,71,12,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P6.png,3,Left,No,42.4764,91.0,6.0,49,24,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P1.png,4,Left,Yes,17.8663,31.0,20.0,31,20,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P11.png,5,Right,No,26.231,19.0,18.0,23,18,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P5.png,6,Left,No,31.1147,31.0,24.0,31,24,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P2.png,7,Left,Yes,40.2185,112.0,60.0,28,15,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P12.png,8,Right,No,32.6554,51.0,28.0,51,28,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P8.png,9,Right,Yes,26.8511,41.0,20.0,41,20,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P3.png,10,Left,Yes,44.9308,63.0,60.0,21,20,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P9.png,11,Right,Yes,31.6273,99.0,42.0,33,14,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,P7.png,12,Right,Yes,41.9352,134.0,18.0,67,9,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC7.png,13,Right,Yes,25.8573,38.0,20.0,19,10,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC11.png,14,Right,No,22.495,19.0,24.0,19,24,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC10.png,15,Right,No,15.5495,37.0,16.0,37,16,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC8.png,16,Right,Yes,41.1512,50.0,42.0,25,21,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC5.png,17,Left,No,20.2115,29.0,18.0,29,18,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC12.png,18,Right,No,23.3141,73.0,12.0,73,12,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC4.png,19,Left,No,16.2812,48.0,16.0,49,16,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC1.png,20,Left,Yes,32.5358,87.0,12.0,29,4,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC2.png,21,Left,Yes,53.0438,72.0,42.0,41,21,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC6.png,22,Left,No,39.067,37.0,30.0,37,30,TRUE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC9.png,23,Right,Yes,65.9111,94.0,42.0,43,14,FALSE
wpi6172964653ia1639,2024-10-22_21h41.59.271,Incongruent,IC3.png,24,Left,Yes,25.5308,89.0,36.0,89,36,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P11.png,1,Right,No,49.6918,19.0,18.0,23,18,FALSE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P5.png,2,Left,No,19.2339,31.0,24.0,31,24,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P2.png,3,Left,Yes,61.4604,112.0,60.0,28,15,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P4.png,4,Left,No,16.2098,71.0,12.0,71,12,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P8.png,5,Right,Yes,29.6959,41.0,20.0,41,20,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P1.png,6,Left,Yes,19.5629,31.0,20.0,31,20,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P3.png,7,Left,Yes,72.0296,31.5,30.0,21,20,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P9.png,8,Right,Yes,45.1959,99.0,42.0,33,14,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P10.png,9,Right,No,16.4921,43.0,12.0,43,12,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P6.png,10,Left,No,20.3136,49.0,24.0,49,24,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P12.png,11,Right,No,54.8305,20.5,14.0,51,28,FALSE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,P7.png,12,Right,Yes,61.5295,149.0,18.0,67,9,FALSE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC7.png,13,Right,Yes,13.285,38.0,20.0,19,10,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC6.png,14,Left,No,20.0997,37.0,30.0,37,30,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC11.png,15,Right,No,23.9619,19.0,24.0,19,24,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC4.png,16,Left,No,12.61,49.0,16.0,49,16,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC5.png,17,Left,No,24.3644,39.0,18.0,29,18,FALSE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC8.png,18,Right,Yes,48.0312,50.0,42.0,25,21,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC1.png,19,Left,Yes,21.0631,87.0,12.0,29,4,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC12.png,20,Right,No,23.1634,73.0,12.0,73,12,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC9.png,21,Right,Yes,30.9305,64.5,21.0,43,14,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC10.png,22,Right,No,9.7471,37.0,16.0,37,16,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC3.png,23,Left,Yes,24.3145,44.5,18.0,89,36,TRUE
wpi6172964je1750738,2024-10-22_20h17.08.555,Congruent,CC2.png,24,Left,Yes,44.8963,82.0,42.0,41,21,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P2.png,1,Left,Yes,163.025,112.0,60.0,28,15,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P4.png,2,Left,No,59.4066,71.0,12.0,71,12,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P7.png,3,Right,Yes,53.389,134.0,18.0,67,9,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P5.png,4,Left,No,29.3192,31.0,24.0,31,24,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P1.png,5,Left,Yes,16.001,31.0,20.0,31,20,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P11.png,6,Right,No,31.2929,23.0,18.0,23,18,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P6.png,7,Left,No,22.6313,49.0,24.0,49,24,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P12.png,8,Right,No,55.8693,51.0,28.0,51,28,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P9.png,9,Right,Yes,71.4385,33.0,14.0,33,14,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P8.png,10,Right,Yes,35.2601,82.0,40.0,41,20,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P10.png,11,Right,No,15.8487,43.0,12.0,43,12,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,P3.png,12,Left,Yes,69.4859,21.0,20.0,21,20,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC12.png,13,Right,No,31.1405,73.0,12.0,73,12,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC5.png,14,Left,No,22.0149,29.0,18.0,29,18,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC11.png,15,Right,No,24.4482,19.0,24.0,19,24,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC9.png,16,Right,Yes,73.8373,129.0,42.0,43,14,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC7.png,17,Right,Yes,25.2992,38.0,20.0,19,10,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC4.png,18,Left,No,16.1284,49.0,16.0,49,16,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC8.png,19,Right,Yes,90.8203,50.0,42.0,25,21,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC10.png,20,Right,No,22.5115,37.0,16.0,37,16,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC1.png,21,Left,Yes,21.0319,87.0,12.0,29,4,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC3.png,22,Left,Yes,63.1182,89.0,36.0,89,36,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC6.png,23,Left,No,27.4643,37.0,30.0,37,30,TRUE
wpi6172995d42826h37,2024-10-26_11h09.35.640,Congruent,CC2.png,24,Left,Yes,60.4972,82.0,42.0,41,21,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P8.png,1,Right,Yes,73.8637,41.0,20.0,41,20,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P1.png,2,Left,Yes,31.5134,31.0,20.0,31,20,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P4.png,3,Left,No,30.0329,71.0,12.0,71,12,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P2.png,4,Left,Yes,53.3258,28.0,15.0,28,15,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P10.png,5,Right,No,34.9312,43.0,12.0,43,12,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P6.png,6,Left,No,25.0312,49.0,24.0,49,24,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P3.png,7,Left,Yes,22.5149,21.0,20.0,21,20,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P9.png,8,Right,Yes,43.061,33.0,12.0,33,14,FALSE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P12.png,9,Right,No,35.4985,51.0,28.0,51,28,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P11.png,10,Right,No,18.0804,23.0,18.0,23,18,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P7.png,11,Right,Yes,28.7328,67.0,9.0,67,9,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,P5.png,12,Left,No,43.715,31.0,12.0,31,24,FALSE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC9.png,13,Right,Yes,32.7489,43.0,14.0,43,14,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC4.png,14,Left,No,22.8153,49.0,16.0,49,16,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC12.png,15,Right,No,19.5819,31.0,12.0,73,12,FALSE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC5.png,16,Left,No,18.9333,29.0,18.0,29,18,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC2.png,17,Left,Yes,21.9489,41.0,21.0,41,21,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC10.png,18,Right,No,27.4645,37.0,16.0,37,16,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC1.png,19,Left,Yes,29.0985,29.0,4.0,29,4,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC6.png,20,Left,No,27.1988,37.0,30.0,37,30,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC7.png,21,Right,Yes,26.4148,35.0,20.0,19,10,FALSE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC3.png,22,Left,Yes,33.8152,89.0,36.0,89,36,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC11.png,23,Right,No,36.4809,19.0,24.0,19,24,TRUE
wpi617299937o1947y5,2024-10-26_22h10.05.672,Congruent,CC8.png,24,Right,Yes,27.6655,25.0,21.0,25,21,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P12.png,1,Right,No,36.6944,108.0,54.0,51,28,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P1.png,2,Left,Yes,22.3287,108.0,100.0,31,20,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P7.png,3,Right,Yes,37.252,472.0,54.0,67,9,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P3.png,4,Left,Yes,19.2605,58.0,60.0,21,20,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P4.png,5,Left,No,21.9251,215.0,36.0,71,12,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P8.png,6,Right,Yes,15.3071,87.0,40.0,41,20,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P6.png,7,Left,No,61.261,98.0,48.0,49,24,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P10.png,8,Right,No,17.615,43.0,12.0,43,12,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P11.png,9,Right,No,28.87,23.0,18.0,23,18,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P9.png,10,Right,Yes,51.1076,99.0,42.0,33,14,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P2.png,11,Left,Yes,32.9406,92.0,60.0,28,15,FALSE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,P5.png,12,Left,No,22.6498,31.0,24.0,31,24,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC3.png,13,Left,Yes,27.9428,89.0,36.0,89,36,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC12.png,14,Right,No,22.6622,146.0,24.0,73,12,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC9.png,15,Right,Yes,27.4426,129.0,42.0,43,14,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC6.png,16,Left,No,45.1219,37.0,30.0,37,30,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC4.png,17,Left,No,12.3421,49.0,16.0,49,16,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC8.png,18,Right,Yes,67.8874,50.0,42.0,25,21,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC5.png,19,Left,No,22.2709,29.0,18.0,29,18,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC1.png,20,Left,Yes,16.8147,87.0,12.0,29,4,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC10.png,21,Right,No,9.9043,37.0,16.0,37,16,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC11.png,22,Right,No,21.4798,19.0,24.0,19,24,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC2.png,23,Left,Yes,29.7855,82.0,42.0,41,21,TRUE
wpi617302246zq87473,2024-10-29_14h16.44.531,Congruent,CC7.png,24,Right,Yes,14.0311,38.0,20.0,19,10,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P5.png,1,Left,No,23.726,31.0,24.0,31,24,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P9.png,2,Right,Yes,25.9461,33.0,14.0,33,14,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P12.png,3,Right,No,28.9789,102.0,56.0,51,28,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P10.png,4,Right,No,11.434,43.0,12.0,43,12,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P6.png,5,Left,No,24.7116,98.0,48.0,49,24,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P11.png,6,Right,No,19.7118,69.0,54.0,23,18,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P3.png,7,Left,Yes,14.7133,63.0,60.0,21,20,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P4.png,8,Left,No,10.1238,71.0,12.0,71,12,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P1.png,9,Left,Yes,8.0522,31.0,20.0,31,20,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P2.png,10,Left,Yes,20.3823,102.0,60.0,28,15,FALSE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P7.png,11,Right,Yes,16.1242,402.0,54.0,67,9,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,P8.png,12,Right,Yes,10.7675,82.0,40.0,41,20,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC4.png,13,Left,No,24.7874,49.0,16.0,49,16,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC6.png,14,Left,No,15.8412,185.0,150.0,37,30,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC11.png,15,Right,No,10.379,76.0,96.0,19,24,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC9.png,16,Right,Yes,10.4163,152.0,42.0,43,14,FALSE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC8.png,17,Right,Yes,10.9654,50.0,42.0,25,21,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC1.png,18,Left,Yes,12.6248,174.0,24.0,29,4,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC2.png,19,Left,Yes,16.1294,82.0,42.0,41,21,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC10.png,20,Right,No,12.58,37.0,16.0,37,16,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC12.png,21,Right,No,15.7048,146.0,24.0,73,12,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC5.png,22,Left,No,11.2852,87.0,54.0,29,18,TRUE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC7.png,23,Right,Yes,13.7659,34.0,20.0,19,10,FALSE
wpi6173038474v3d659,2024-10-31_11h00.50.829,Congruent,CC3.png,24,Left,Yes,11.8547,178.0,72.0,89,36,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P1.png,1,Left,Yes,20.4668,31.0,20.0,31,20,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P12.png,2,Right,No,21.9219,51.0,28.0,51,28,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P8.png,3,Right,Yes,75.5416,82.0,40.0,41,20,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P11.png,4,Right,No,24.6064,23.0,18.0,23,18,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P10.png,5,Right,No,24.1502,43.0,12.0,43,12,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P7.png,6,Right,Yes,26.9013,134.0,18.0,67,9,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P9.png,7,Right,Yes,21.5501,99.0,42.0,33,14,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P3.png,8,Left,Yes,29.9053,63.0,60.0,21,20,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P4.png,9,Left,No,21.7084,71.0,12.0,71,12,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P5.png,10,Left,No,20.9643,31.0,24.0,31,24,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P6.png,11,Left,No,23.4745,48.0,24.0,49,24,FALSE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,P2.png,12,Left,Yes,48.8454,112.0,60.0,28,15,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC12.png,13,Right,No,24.9216,73.0,12.0,73,12,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC3.png,14,Left,Yes,16.3745,89.0,36.0,89,36,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC5.png,15,Left,No,17.9649,29.0,18.0,29,18,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC11.png,16,Right,No,15.8106,19.0,24.0,19,24,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC9.png,17,Right,Yes,24.6202,129.0,42.0,43,14,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC2.png,18,Left,Yes,54.531,82.0,42.0,41,21,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC8.png,19,Right,Yes,48.8932,50.0,42.0,25,21,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC6.png,20,Left,No,31.4745,37.0,30.0,37,30,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC4.png,21,Left,No,9.8088,49.0,16.0,49,16,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC10.png,22,Right,No,8.7262,37.0,16.0,37,16,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC7.png,23,Right,Yes,10.6857,38.0,20.0,19,10,TRUE
wpi617305q196215x98,2024-11-02_00h08.26.474,Congruent,CC1.png,24,Left,Yes,12.2551,87.0,12.0,29,4,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P3.png,1,Left,Yes,48.8413,63.0,60.0,21,20,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P10.png,2,Right,No,31.5622,43.0,12.0,43,12,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P7.png,3,Right,Yes,20.5655,134.0,18.0,67,9,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P2.png,4,Left,Yes,54.5182,112.0,60.0,28,15,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P8.png,5,Right,Yes,26.809,41.0,20.0,41,20,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P11.png,6,Right,No,24.6645,23.0,18.0,23,18,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P1.png,7,Left,Yes,16.5033,31.0,20.0,31,20,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P6.png,8,Left,No,26.7032,49.0,24.0,49,24,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P4.png,9,Left,No,10.2424,71.0,12.0,71,12,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P12.png,10,Right,No,24.5735,51.0,28.0,51,28,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P5.png,11,Left,No,19.603,31.0,24.0,31,24,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,P9.png,12,Right,Yes,48.6008,99.0,42.0,33,14,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,CC1.png,13,Left,Yes,28.3789,87.0,12.0,29,4,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,CC12.png,14,Right,No,22.1247,73.0,12.0,73,12,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,CC5.png,15,Left,No,21.6589,29.0,18.0,29,18,TRUE
wpi6173084465wg9125,2024-11-05_17h33.37.523,Congruent,CC11.png,16,Right,No,13.7303,19.0,24.0,19,24,TRUE
